id,predicted
0,5.9961
1,5.3722
2,5.2621
3,5.1887
4,6.0328
5,5.6658
6,5.2988
7,5.2988
8,6.5099
9,6.2897
10,5.2254
11,5.4456
12,5.8493
13,5.4823
14,5.9961
15,6.1429
16,5.1887
17,5.3722
18,5.6658
19,5.2621
20,5.4456
21,5.4089
22,6.2163
23,5.2988
24,5.886
25,5.1887
26,5.8126
27,5.5557
28,5.6291
29,5.4823
30,5.7392
31,5.2621
32,5.8126
33,5.1153
34,5.2988
35,5.9961
36,5.7025
37,5.2621
38,5.2988
39,6.1429
40,5.2254
41,6.4732
42,5.519
43,5.2621
44,5.8493
45,5.5557
46,5.1887
47,5.2254
48,5.8126
49,5.3722
50,5.6658
51,5.4089
52,5.2988
53,5.200933333
54,5.7759
55,5.2988
56,5.6291
57,5.3355
58,5.9961
59,6.2897
60,5.2254
61,5.886
62,5.5557
63,5.519
64,5.9594
65,5.2621
66,5.3355
67,6.0328
68,4.8951
69,6.2163
70,5.2254
71,5.2988
72,5.519
73,5.519
74,5.7759
75,5.7392
76,5.2254
77,6.0328
78,5.2988
79,6.0328
80,5.6658
81,5.8126
82,5.1153
83,5.6291
84,5.1887
85,6.3631
86,5.9961
87,5.6658
88,5.519
89,5.3722
90,5.9227
91,5.9961
92,5.2988
93,5.3722
94,5.2621
95,5.3355
96,5.4823
97,5.7759
98,5.9594
99,5.1887
100,5.3355
101,5.8493
102,5.2621
103,5.2988
104,5.7759
105,5.2621
106,5.3355
107,5.519
108,5.2988
109,5.2621
110,6.7301
111,5.6658
112,5.2621
113,5.1153
114,5.519
115,6.791266667
116,5.4456
117,5.5557
118,5.519
119,6.0328
120,5.519
121,5.3722
122,5.6291
123,5.4823
124,5.4089
125,5.7025
126,5.3722
127,5.4456
128,5.20705
129,5.4823
130,6.1796
131,5.886
132,5.3355
133,5.2988
134,5.2988
135,5.1887
136,5.2621
137,5.8493
138,5.8493
139,6.1429
140,5.7025
141,5.1153
142,5.7392
143,5.519
144,5.2254
145,6.2897
146,5.4823
147,5.4823
148,5.9227
149,6.3264
150,5.519
151,5.9961
152,5.5924
153,6.0695
154,5.7025
155,6.3998
156,5.2988
157,5.8493
158,5.4089
159,5.1887
160,5.4823
161,6.1429
162,5.9594
163,5.2254
164,6.2163
165,5.1887
166,5.2621
167,5.2988
168,5.7025
169,5.8493
170,5.7392
171,5.1887
172,5.4823
173,5.5924
174,5.3355
175,5.4089
176,6.0695
177,5.8126
178,5.5557
179,5.3355
180,5.4823
181,5.8493
182,5.7759
183,5.4456
184,5.1153
185,5.4456
186,6.4365
187,5.2254
188,5.4089
189,5.3355
190,5.1153
191,5.152
192,5.6291
193,5.9594
194,6.2163
195,6.4732
196,6.0328
197,6.5099
198,5.2988
199,5.1887
200,5.4089
201,5.1887
202,5.1887
203,5.8493
204,5.2988
205,6.3264
206,5.4823
207,5.7025
208,5.3722
209,5.5557
210,6.4365
211,5.4456
212,6.2163
213,6.1796
214,5.9594
215,5.152
216,5.6291
217,5.9227
218,5.3722
219,5.2254
220,5.1887
221,5.5924
222,5.4823
223,5.4823
224,5.1887
225,6.1796
226,5.2621
227,5.3722
228,5.6658
229,5.5924
230,5.1153
231,5.2988
232,5.8126
233,5.2254
234,6.4732
235,5.7759
236,5.886
237,5.8493
238,5.3355
239,5.3355
240,5.8126
241,5.4456
242,5.7759
243,5.6658
244,5.2254
245,5.152
246,5.152
247,5.3355
248,6.0328
249,5.494533333
250,5.5557
251,5.519
252,6.3998
253,5.4823
254,5.4089
255,5.6658
256,5.6291
257,6.1429
258,5.8493
259,5.4823
260,5.9961
261,6.5833
262,5.9594
263,5.5924
264,6.1062
265,5.9961
266,6.5833
267,6.1796
268,5.5557
269,6.1796
270,6.5099
271,5.6291
272,5.2254
273,5.9961
274,5.4089
275,5.5924
276,5.2621
277,5.9227
278,5.3355
279,5.2254
280,6.1429
281,5.7025
282,5.2988
283,5.4456
284,5.6658
285,5.8493
286,5.519
287,5.7392
288,5.2988
289,5.9594
290,5.7025
291,5.886
292,5.2254
293,5.2988
294,5.68415
295,6.5099
296,5.3355
297,5.6658
298,5.2621
299,5.6658
300,5.3722
301,5.6658
302,5.3355
303,5.5924
304,5.2621
305,5.6291
306,6.3631
307,5.2621
308,5.6658
309,5.4456
310,5.7025
311,6.6934
312,5.4456
313,5.7759
314,5.9227
315,5.5557
316,5.6291
317,5.886
318,5.5557
319,5.6658
320,5.519
321,5.9594
322,5.519
323,5.7759
324,5.6658
325,5.4456
326,5.4089
327,5.4823
328,5.6658
329,5.152
330,5.7392
331,5.494533333
332,5.886
333,5.1887
334,5.3722
335,5.4089
336,6.0695
337,6.5466
338,5.3722
339,6.1429
340,5.4823
341,5.2988
342,6.1429
343,5.2621
344,5.8126
345,5.3355
346,5.4456
347,5.2621
348,5.6658
349,5.9227
350,6.0328
351,5.7759
352,5.2621
353,5.4823
354,6.9503
355,5.3355
356,5.2621
357,5.3722
358,5.4089
359,5.4089
360,6.8035
361,5.2988
362,5.4089
363,5.3355
364,5.6291
365,5.5924
366,5.6291
367,6.5099
368,5.8493
369,5.886
370,5.4089
371,5.9961
372,5.6658
373,5.3355
374,6.3631
375,5.9961
376,5.519
377,5.8126
378,5.2621
379,5.152
380,5.8493
381,5.2988
382,5.7392
383,5.7759
384,5.4823
385,5.3722
386,5.2621
387,5.8493
388,5.4823
389,5.9961
390,6.1062
391,5.5557
392,5.9227
393,6.3264
394,5.9227
395,6.1062
396,6.0328
397,5.8493
398,5.4089
399,5.4089
400,6.0328
401,5.5924
402,5.6291
403,5.2254
404,5.6658
405,5.8493
406,5.4456
407,5.4089
408,5.7025
409,5.2254
410,5.2988
411,5.4823
412,5.5557
413,5.8126
414,5.2254
415,5.1887
416,5.886
417,5.6658
418,6.5466
419,6.5466
420,6.0328
421,5.9227
422,6.3998
423,5.6291
424,5.3355
425,5.3355
426,6.3631
427,5.5557
428,6.1062
429,5.6291
430,5.1887
431,5.6291
432,5.4089
433,5.2988
434,5.2621
435,5.7392
436,5.9961
437,6.1062
438,5.0419
439,5.152
440,5.4456
441,5.3355
442,5.8493
443,5.7392
444,6.0328
445,5.2621
446,6.5099
447,6.3998
448,5.2988
449,6.2163
450,6.1429
451,6.0328
452,5.9594
453,5.9961
454,5.4456
455,5.4823
456,5.2621
457,6.0328
458,5.2988
459,6.2897
460,5.2988
461,6.4365
462,5.2254
463,5.152
464,6.6934
465,5.2254
466,5.2254
467,6.5099
468,5.2988
469,6.5833
470,5.8126
471,5.1887
472,5.1887
473,5.2988
474,6.1062
475,5.519
476,5.8126
477,5.5924
478,5.2254
479,5.4823
